"station","date","lat","lon","NO23","uni"
"21FLHILL_WQX-044","1999-02-09",27.9237,-82.480698,0.002,"mg/L"
"21FLHILL_WQX-040","1999-10-05",27.9291,-82.587303,0.009,"mg/L"
"21FLHILL_WQX-040","1999-01-05",27.9291,-82.587303,0.009,"mg/L"
"21FLHILL_WQX-091","1999-09-28",27.627899,-82.641502,0.004,"mg/L"
"21FLHILL_WQX-133","1999-11-17",27.915001,-82.402199,1.083,"mg/L"
"21FLHILL_WQX-009","1999-10-19",27.786501,-82.4272,0.006,"mg/L"
"21FLHILL_WQX-132","1999-01-20",27.835699,-82.346199,0.802,"mg/L"
"21FLHILL_WQX-146","1999-02-16",28.0541,-82.345001,0.073,"mg/L"
"21FLHILL_WQX-062","1999-02-02",27.969999,-82.574303,0.01,"mg/L"
"21FLMANA_WQX-365","1999-01-20",27.6124472,-82.60665,0.042,"mg/L"
"21FLHILL_WQX-044","1999-01-12",27.9237,-82.480698,0.03,"mg/L"
"21FLHILL_WQX-032","1999-12-01",27.7932,-82.570702,0.003,"mg/L"
"21FLMANA_WQX-361","1999-01-20",27.6285166,-82.5919333,0.041,"mg/L"
"21FLHILL_WQX-144","1999-05-19",27.8381,-82.382202,0.006,"mg/L"
"21FLMANA_WQX-459","1999-01-19",27.5288277,-82.7036111,0.04,"mg/L"
"21FLHILL_WQX-147","1999-03-16",27.981501,-82.3545,0.035,"mg/L"
"21FLHILL_WQX-142","1999-11-16",28.026699,-82.538002,0.046,"mg/L"
"21FLHILL_WQX-103","1999-05-18",27.997601,-82.586304,0.03,"mg/L"
"21FLHILL_WQX-144","1999-09-23",27.8381,-82.382202,0.203,"mg/L"
"21FLHILL_WQX-090","1999-11-30",27.625999,-82.591499,0.003,"mg/L"
"21FLHILL_WQX-038","1999-09-07",27.8818,-82.577499,0.003,"mg/L"
"21FLHILL_WQX-136","1999-10-13",27.68,-82.499199,0.009,"mg/L"
"21FLHILL_WQX-071","1999-05-11",27.876499,-82.413803,0.018,"mg/L"
"21FLMANA_WQX-361","1999-10-11",27.6285166,-82.5919333,0.017,"mg/L"
"21FLHILL_WQX-065","1999-04-06",27.945601,-82.694298,0.003,"mg/L"
"21FLHILL_WQX-032","1999-09-07",27.7932,-82.570702,0.01,"mg/L"
"21FLHILL_WQX-073","1999-02-09",27.8281,-82.413101,0.003,"mg/L"
"21FLHILL_WQX-102","1999-11-16",28.010599,-82.607803,0.014,"mg/L"
"21FLHILL_WQX-144","1999-03-17",27.8381,-82.382202,0.777,"mg/L"
"21FLMANA_WQX-357","1999-01-20",27.6494777,-82.5784527,0.042,"mg/L"
"21FLHILL_WQX-104","1999-11-16",27.9821,-82.562302,0.085,"mg/L"
"21FLHILL_WQX-138","1999-10-13",27.9165,-82.392998,0.211,"mg/L"
"21FLHILL_WQX-007","1999-04-13",27.85889,-82.468597,0.015,"mg/L"
"21FLHILL_WQX-054","1999-02-09",27.9319,-82.432602,0.008,"mg/L"
"21FLMANA_WQX-422","1999-04-05",27.5574833,-82.6332166,0.014,"mg/L"
"21FLHILL_WQX-095","1999-09-28",27.6112,-82.694702,0.003,"mg/L"
"21FLHILL_WQX-051","1999-09-07",27.8902,-82.548798,0.007,"mg/L"
"21FLHILL_WQX-147","1999-07-20",27.981501,-82.3545,0.003,"mg/L"
"21FLHILL_WQX-067","1999-04-06",27.9002,-82.592003,0.004,"mg/L"
"21FLHILL_WQX-110","1999-06-16",27.9526,-82.370796,0.061,"mg/L"
"21FLHILL_WQX-066","1999-10-05",27.927799,-82.639702,0.019,"mg/L"
"21FLHILL_WQX-040","1999-05-04",27.9291,-82.587303,0.011,"mg/L"
"21FLMANA_WQX-202","1999-06-15",27.6665361,-82.5590666,0.01,"mg/L"
"21FLMANA_WQX-386","1999-10-11",27.6059861,-82.6011666,0.017,"mg/L"
"21FLHILL_WQX-016","1999-11-30",27.723801,-82.533798,0.003,"mg/L"
"21FLHILL_WQX-132","1999-08-18",27.835699,-82.346199,0.721,"mg/L"
"21FLMANA_WQX-435","1999-02-08",27.533,-82.6668333,0.03,"mg/L"
"21FLHILL_WQX-046","1999-10-05",27.9904,-82.659302,0.006,"mg/L"
"21FLHILL_WQX-146","1999-12-14",28.0541,-82.345001,0.007,"mg/L"
"21FLHILL_WQX-084","1999-02-23",27.729,-82.498703,0.004,"mg/L"
"21FLHILL_WQX-084","1999-09-28",27.729,-82.498703,0.003,"mg/L"
"21FLHILL_WQX-041","1999-12-01",27.937401,-82.565002,0.003,"mg/L"
"21FLHILL_WQX-007","1999-01-12",27.85889,-82.468597,0.006,"mg/L"
"21FLHILL_WQX-146","1999-06-15",28.0541,-82.345001,0.006,"mg/L"
"21FLHILL_WQX-138","1999-01-20",27.9165,-82.392998,0.458,"mg/L"
"21FLHILL_WQX-090","1999-09-28",27.625999,-82.591499,0.003,"mg/L"
"21FLHILL_WQX-102","1999-10-12",28.010599,-82.607803,0.022,"mg/L"
"21FLHILL_WQX-103","1999-06-15",27.997601,-82.586304,0.013,"mg/L"
"21FLMANA_WQX-460","1999-01-19",27.5167083,-82.6853166,0.045,"mg/L"
"21FLHILL_WQX-144","1999-08-18",27.8381,-82.382202,0.052,"mg/L"
